;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;ChemicalPharma;Paper;Mining;TranspEquipment;Transport_serv;Agri_Forestry;Fishing;Food_industry;Composite;C;G;I;X;Tot_uses;Y;M
Heavy_fuel_oil;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;440.2873853023830000;408.8590000000000000;408.8590000000000000;440.2873853023830000;408.8590000000000000;408.8590000000000000;408.8590000000000000;440.2873853023830000;408.8590000000000000;408.8590000000000000;408.8590000000000000;408.8590000000000000;408.8590000000000000;418.5753865546220000;440.2873853023830000;408.8590000000000000;408.8590000000000000;428.1300000000000000;1231.5837345145900000;1231.5837345145900000;450.0000000000000000;438.9326603438470000;642.7230132445960000;250.0000000000000000
Other_fuel_prod;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;525.9644633358270000;525.9644633358270000;525.9644633358270000;600.0000000000000000;600.0000000000000000;600.0000000000010000;522.1439907435520000;512.0166140143870000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;522.1439907435520000;600.0000000000000000;600.0000000000010000;531.8609791244740000;781.0973410424990000;781.0973410424990000;512.0166140143870000;525.9644633358270000;539.6304097234400000;250.0000000000000000
Electricty;580.0000000000000000;580.0000000000000000;788.2802908524600000;580.0000000000000000;580.0000000000000000;580.0000000000000000;580.0000000000000000;580.0000000000000000;580.0000000000000000;580.0000000000000000;580.0000000000000000;580.0000000000000000;580.0000000000000000;788.2802908524600000;580.0000000000000000;504.0000000000000000;504.0000000000000000;504.0000000000000000;504.0000000000000000;865.0000000000000000;504.0000000000000000;504.0000000000000000;727.0000000000000000;580.0000000000000000;580.0000000000000000;865.0000000000000000;865.0000000000000000;580.0000000000000000;865.0000000000000000;1450.9959000000000000;1204.7442403153000000;1204.7442403153000000;518.2310702340000000;948.5147746245760000;748.0085690120870000;654.1033824638780000
HeatGeoSol_Th;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;681.7003930638970000;683.7209302325580000;681.7003930638970000;683.7209302325580000;683.7209302325580000;768.6046511627910000;827.2978901070490000;827.2978901070490000;674.5570977136460000;687.1249838110040000;666.3734321630660000;666.3734321630650000
Steel_Iron;609.8639401977580000;911.7819406436710000;609.8639401977580000;609.8639401977580000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;90.0000000000000000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;911.7819406436710000;609.8639401977580000;911.7819406436710000;911.7819406436710000;911.7819406436710000;740.2705287013530000;911.7819406436710000;616.2903123212430000;610.4097877934230000;504.6932138728710000;690.6412525164650000
NonFerrousMetals;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1065.0103557794500000;1144.3985337281600000;1144.3985337281600000;1144.3985337281600000;1064.4706202929800000;1065.5951178222200000;1000.0000000000000000;1000.0000000000000000
Cement;138.4246221866290000;194.8501622295990000;138.4246221866290000;138.4246221866290000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;58.0202176514793000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;194.8501622295990000;152.7759964807550000;152.7759964807550000;211.8813839651750000;1013.0090691088900000;113.5729918478480000;100.8816944838640000
OthMin;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1388.7076752466300000;1702.4514947867300000;1702.4514947867300000;1702.4514947867300000;1386.9288911239700000;1413.9547594768300000;1000.0000000000000000;1000.0000000000000000
Buildings_constr;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1004.5670018602300000;1132.8281325303100000;1132.8281325303100000;1132.8281325303100000;1000.0000000000000000;1128.1476035484100000;1000.0000000000000000;1000.0000000000000000
ChemicalPharma;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1385.0702251135300000;1513.4001003909500000;1513.4001003909500000;1513.4001003909500000;1377.1245147452300000;1417.0759073238300000;1000.0000000000000000;1000.0000000000000000
Paper;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1197.5516469570800000;1528.8490953360900000;1528.8490953360900000;1528.8490953360900000;1196.6220474319900000;1236.8692856042900000;1000.0000000000000000;1000.0000000000000000
Mining;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;1332.3883071523600000;2114.4604582079600000;2114.4604582079600000;2114.4604582079600000;1326.2620254500600000;1335.8288303870400000;1000.0000000000000000;1000.0000000000000000
TranspEquipment;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1129.3152131713200000;1316.2195473474200000;1316.2195473474200000;1316.2195473474200000;1137.3542120459900000;1201.0398933453400000;1000.0000000000000000;1000.0000000000000000
Transport_serv;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;666.3019942373420000;700.1467116603760000;700.1467116603770000;700.1467116603760000;729.1226877674070000;691.1319408676160000;1000.0000000000000000;1000.0000000000000000
Agri_Forestry;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1258.2659412286700000;1329.3722040384900000;1329.3722040384900000;1329.3722040384900000;1279.1237900367500000;1282.8665034599700000;1000.0000000000000000;1000.0000000000000000
Fishing;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1807.2513845139800000;1899.0084049787600000;1899.0084049787600000;1899.0084049787600000;1806.3066144947600000;1856.9606904913100000;1000.0000000000000000;1000.0000000000000000
Food_industry;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1414.1470026377600000;1495.6538141648800000;1495.6538141648800000;1495.6538141648800000;1411.4316178685100000;1457.4797694707700000;1000.0000000000000000;1000.0000000000000000
Composite;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;960.2545265774370000;1017.6304062542100000;1017.6304062542100000;1017.6304062542100000;945.6507710825160000;987.4931310123090000;1000.0000000000000000;1000.0000000000000000
euro_per_tep_euro_per_tons;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000;0.0000000000000000
