type;Variables;unit;Agents/Sectors;2010;2016;2018;REF;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3
-;C;volume;3.  Coal;484.59469;29.411357;29.411357;29.411357;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969;27.941969
-;C;volume;4.  AllFuels;31451.9;31170.628;31170.628;31170.628;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347;29613.347
-;C;volume;5.  Electricity;13602.138;14252.823;14252.823;14252.823;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753;13540.753
-;C;volume;6.  HeatGeoSol_Th;96.83364;1233.607;1233.607;1233.607;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762;1171.9762
-;C;volume;7.  Heavy_Industry;30207.156;32861.065;34366.296;34366.296;33844.313;33468.339;34323.952;33860.12;33673.486;33673.486;34122.038;33683.965;34135.416;33758.211;34922.222;34206.839;33958.094;33958.094;34717.007;34024.938
-;C;volume;8.  Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;C;volume;9.  Work_constr;11479.046;12028.714;12485.149;12485.149;12573.51;12373.012;12469.766;12560.461;12520.619;12520.619;12396.411;12504.491;12548.582;12347.127;12687.115;12570.302;12492.836;12492.836;12612.561;12511.815
-;C;volume;10. Automobile;2251.669;2427.8886;2542.0426;2542.0426;2542.8357;2520.2383;2538.9104;2542.0297;2530.1974;2530.1974;2523.975;2529.0712;2563.4325;2540.7635;2583.1639;2566.0649;2550.2923;2550.2923;2567.9843;2552.6577
-;C;volume;11. Load_PipeTransp;5683.2769;4637.4909;4619.3239;4619.3239;4258.5048;4213.6241;4596.5442;4257.0503;4245.7324;4245.7324;4574.2015;4243.7808;4252.5835;4206.9593;4678.5366;4256.4246;4238.8233;4238.8233;4655.8022;4242.2354
-;C;volume;12. PassTransp;188237.4;189478.02;194107.53;194107.53;190846.18;188002.3;193868.36;190784.48;190091.22;190091.22;192727.92;189993.5;190321.66;187460.23;197247.51;190649.95;189522.41;189522.41;196088.41;189818.87
-;C;volume;13. Agri_Food_industry;105295.88;110690.32;115217.62;115217.62;114504.98;112850.26;115075.66;114485.2;113968.68;113968.68;114398.71;113925.81;114968.36;113313.86;117081.44;115198.53;114407.91;114407.91;116393.43;114617.92
-;C;volume;14. Property_business;2553764.2;2654970.5;2757516;2757516;2777637.3;2456379.4;2754118.4;2759102.2;2766276.1;2766276.1;2737917;2744736.1;2772991.9;2452133.5;2802122.9;2787514.8;2760990.4;2760990.4;2785656.7;2772713.8
-;C;volume;15. OthSectors;522226.03;548105.61;569771.08;569771.08;573314.11;562258.18;568861.74;572555.91;571001.75;571001.75;565655.45;570082.63;573025.39;561967.45;578861.66;574060.58;570581.34;570581.34;575602.23;571473.85
nominal;C;G€;1.  Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nominal;C;G€;2.  Natural_gas;10.4;9;9.7;9.7;12.5;12.7;12.6;12.5;12.5;12.5;12.6;12.5;12.6;12.8;12.6;12.6;12.6;12.6;12.6;12.6
nominal;C;G€;3.  Coal;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nominal;C;G€;4.  AllFuels;41.9;40.3;43.7;43.7;51.7;51.9;51.5;51.7;51.7;51.7;51.5;51.7;51.8;52;51.5;51.8;51.8;51.8;51.5;51.8
nominal;C;G€;5.  Electricity;19.7;28.6;29.2;29.2;29.4;30.2;27.8;29.2;29.4;29.4;27.8;29.2;29.8;30.7;27.8;29.5;29.8;29.8;27.8;29.5
nominal;C;G€;6.  HeatGeoSol_Th;0.1;1.1;1.1;1.1;1.2;1.3;1;1.2;1.2;1.2;1;1.2;1.3;1.3;1;1.2;1.3;1.3;1;1.2
nominal;C;G€;7.  Heavy_Industry;43.4;47.8;50.4;50.4;50.2;50.1;50.3;50.2;49.9;49.9;50;49.9;51;51;51.2;51.1;50.7;50.7;50.9;50.8
nominal;C;G€;8.  Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nominal;C;G€;9.  Work_constr;12.6;13.9;14.7;14.7;14.6;14.6;14.6;14.6;14.5;14.5;14.6;14.5;14.9;14.8;14.9;14.9;14.8;14.8;14.8;14.8
nominal;C;G€;10. Automobile;60;66;69.7;69.7;69.4;69.4;69.6;69.5;69;69;69.2;69.1;70.6;70.5;70.8;70.6;70.2;70.2;70.4;70.2
nominal;C;G€;11. Load_PipeTransp;0.6;0.7;0.8;0.8;0.8;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
nominal;C;G€;12. PassTransp;15.5;17.1;18;18;18;17.9;18;18;17.9;17.9;17.9;17.9;18.3;18.2;18.3;18.3;18.2;18.2;18.2;18.2
nominal;C;G€;13. Agri_Food_industry;152.5;167.9;177.2;177.2;176.5;176.3;177;176.6;175.5;175.5;175.9;175.6;179.5;179.2;180;179.6;178.4;178.4;179;178.5
nominal;C;G€;14. Property_business;202.1;222.6;234.9;234.9;234;233.7;234.6;234.1;232.7;232.7;233.2;232.7;237.9;237.6;238.7;238;236.5;236.5;237.3;236.6
nominal;C;G€;15. OthSectors;532.4;586.3;618.7;618.7;616.5;615.6;617.9;616.6;612.9;612.9;614.3;613;626.7;625.8;628.7;627;623.1;623.1;625;623.3
