type;Variables;unit;Agents/Sectors;2010;2016;2018;REF;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3
real;Consumption;G€;-;1091.3;1142.4;1246.1;1268;1266.8;1222.6;1261.8;1264.4;1261.8;1261.8;1255;1258.9;1267.7;1223.5;1282.4;1270.7;1262.5;1262.5;1275.5;1265
real;G_Conso;G€;-;521.6;549.3;595.5;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4;604.4
real;Investment;G€;-;376.7;465.3;502.9;510.6;540.6;540.6;540.6;540.6;510.6;510.6;510.6;510.6;540.6;540.6;540.6;540.6;510.6;510.6;510.6;510.6
real;X;G€;-;463.7;510.1;545.4;553.9;556.5;544.7;553.7;555.8;557.6;557.6;553.8;556.7;545.5;534;553.8;546.6;546.5;546.5;553.9;547.4
real;M;G€;-;516.2;587.8;600.8;608.2;607;612.4;609.6;607.5;600.6;600.6;603.5;601.1;616.2;621.6;613.4;615.8;609.7;609.7;607.4;609.3
real;Trade_Balance;G€;-;-52.5;-91.7;-55.6;-54.4;-50.6;-68.7;-55.8;-51.8;-43.2;-43.2;-49.7;-44.6;-71.9;-93.9;-59.7;-70.1;-63.8;-63.8;-53.5;-62.3
real;Net-of-tax wages;G€;-;0.029358;0.030977;0.033426;0.034013;0.033796;0.032627;0.033643;0.033731;0.033846;0.033846;0.033646;0.033767;0.033292;0.032143;0.033648;0.033366;0.033335;0.033335;0.033651;0.033399
real;Net-of-tax effective wages;G€;-;0.029358;0.029492;0.032629;0.034013;0.033796;0.032627;0.033643;0.033731;0.033846;0.033846;0.033646;0.033767;0.033292;0.032143;0.033648;0.033366;0.033335;0.033335;0.033651;0.033399
-;mean labour price;ratio/BY;-;1;1.1248438;1.0443951;1;0.9791331;0.9792225;0.9786674;0.9791173;0.9774525;0.9774525;0.9770108;0.9774367;1.0023274;1.0025908;1.0015253;1.0022704;1.0008237;1.0008237;1.0000736;1.0007733
-;mean capital price;ratio/BY;-;1;1.0486961;1.0153386;1;0.9898031;1.0282449;1.0001536;0.9923831;0.9881352;0.9881352;1.0000492;0.9911391;1.0075306;1.0465686;1.000092;1.0053987;1.0060111;1.0060111;0.9999879;1.0042674
-;mean energy price;ratio/BY;-;1;0.9727091;1.0961543;1;1.2886716;1.3026851;1.2384179;1.2856198;1.2880145;1.2880145;1.2384453;1.2851466;1.2960409;1.3102313;1.2384269;1.2909786;1.2954413;1.2954413;1.2384541;1.2905476
-;mean non-energy price;ratio/BY;-;1;1.051082;1.0152056;1;0.9951892;1.0161828;1.0003371;0.9966320;0.9935869;0.9935869;1.0001384;0.9952985;1.0110217;1.0322388;1.000224;1.0094583;1.0095563;1.0095563;1.0000259;1.008236
-;mean labour intensity;ratio/BY;-;1;0.9526529;0.9761509;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
-;mean capital intensity;ratio/BY;-;1;1.097851;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
-;mean energy intensity;ratio/BY;-;1;0.8668494;1;1;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451;0.9501451
-;HH_saving_rate;HH_saving_rate;-;15.62;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93;13.93
-;Unemployement rate;Unemployement rate;-;9.24;10.1;9.71;9.71;8.04;9.78;8.6;8.16;9.32;9.32;10.01;9.46;8.96;10.68;8.04;8.81;10.25;10.25;9.46;10.12
-;M/Y;M/Y;-;1;1.8380611;1.0004247;1;1.0001904;1.000886;1;1.000208;1.0001306;1.0001306;1;1.0001574;1.0008391;1.0015569;1;1.0007518;1.0007842;1.0007842;1;1.0007056
-;Y;Y;-;1;1.0537972;1.0300533;1;1.0137946;0.9886671;1.0090373;1.0122756;1.0018732;1.0018732;0.9956047;1.0000425;1.0036141;0.9786850;1.0158905;1.0055901;0.9915607;0.9915607;1.002421;0.9932488
