;Coal;CrudeOil;NaturalGaz;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Chemical;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1343.558397;1214.23043;1334.55818;1000;1000
BovineMeat;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;21109.81192;20810.12315;21109.81192;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;21109.81192;21109.81192;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;20810.12315;21109.81192;20810.12315;20810.12315;21131.97448;7855.572573
RestFoodBeve;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1403.203297;1251.252574;1379.812447;1000;1000
Textiles;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1547.865655;1382.043921;1542.495936;1000;1000
PaperPulp;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2609.646901;2678.52393;2678.52393;2609.646901;2609.646901;2659.897555;1835.313112
Ceramics;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;394.2889865;389.7866697;394.2889865;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;389.7866697;394.2889865;394.2889865;389.7866697;389.7866697;379.922567;581.5315961
Construction;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1050.597439;1000;1050.573936;1000;1000
OthIndustry;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1433.625646;1282.755065;1420.686297;1000;1000
FreightRoad;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.2452577;220.322224;220.322224;220.2452577;220.2452577;220.2452577;220.2452577
FreightRail;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.33766912;15.339643;15.339643;15.33766912;15.33766912;15.33766912;15.33766912
