,Coal,CrudeOil,NaturalGas,OthFossFuel,OthBiofuel,Diesel,Biodiesel,Gasoline,Ethanol,Electricity,PlantedForest,SugarCane,Soy,RestAgri,Cattle,RestLivestoock,Cement,IronSteel,MiningPellet,NonFerrousMetals,Chemical,BovineMeat,RestFoodBeve,Textiles,PaperPulp,Ceramics,Construction,OthIndustry,FreightRoad,FreightRail,FreightAir,FreightWater,PassRoad,PassRail,PassAir,PassWater,WaterSewage,Education,Health,Composite,C_H1,C_H2,C_H3,C_H4,C_H5,C_H6,C_H7,C_H8,C_H9,C_H10,G,I,X,Tot_uses,Y,M
IronSteel,1.8798411,675.54897,25.917892,1.2048183,0.9231945,0,0.1010741,0,2.1950764,89.447864,5.5668739,16.909985,37.516254,61.461304,74.617114,83.770915,86.516818,4976.3445,161.72937,278.33615,41.419667,57.393695,209.16162,29.427856,82.433929,255.62158,8094.3919,23567.523,12.365393,0.3687829,0.0001711,0.4911335,4.0246128,0.1382541,0.0006309,0.0080586,55.831865,21.786085,2.5947525,3799.7761,3.2691515,3.3696601,4.11129,4.3607743,5.3350167,7.6967773,8.8625861,12.408669,20.604839,49.99772,0,43.823446,18388.418,61367.005,54487.317,6879.6873
MiningPellet,10.930358,472.51052,16.728636,3.6639897,1.2222446,0,7.0461068,0,153.02387,0.0296704,7.3701494,8.0427692,22.30803,39.93106,149.83482,165.86997,1173.991,10060.717,2342.8056,6792.635,3688.784,29.890075,268.50187,26.884033,10.206049,3129.2376,6307.4389,3169.6577,0.5834582,0.0174009,0.0001375,0.0984207,0.1838234,0.0063147,0.0005070,0.0052089,397.50193,17.776221,4.0847656,3471.4814,0,0,0,0,0,0,0,0,0,0,0,0,50561.545,92512.546,86937.567,5574.9789
NonFerrousMetals,0.1102146,0.6119549,0.0934146,0.0437260,0.0000931,0,0.0847288,0,1.8400985,3.2059173,0.0005614,0,0,0.0130288,0.0046003,0.0003774,6.5864687,592.2239,14.433144,3110.2304,166.73779,58.528628,159.94365,9.0018436,89.423209,24.255734,1034.3877,6868.3713,3.0269569,0.0902753,0.00001,0.1150275,1.3340213,0.0458265,0.0000369,0.0016391,41.147467,1.0731634,0.0045750,628.60973,3.9340034,4.0549527,4.9474088,5.2476312,6.4200066,9.2620818,10.664983,14.932238,24.795275,60.165827,0,0,7173.7422,20133.748,16454.302,3679.4454
Chemical,83.589042,4011.8019,148.22316,145.18487,57.461605,1012.7349,54.051387,480.37916,959.22881,276.85009,346.49415,9683.7388,19963.565,30846.102,3602.2344,4008.276,953.457,1642.7843,3379.6936,1408.3522,93240.515,936.41429,6365.7533,5934.8494,7701.6173,2655.414,8271.299,45934.36,462.67209,13.798638,0.3905539,29.293342,167.69595,5.7607155,1.4402322,1.002061,1586.1034,808.01796,2871.2278,25937.468,2735.5379,3774.5668,4503.0669,4976.7098,5876.0413,6335.5229,7227.517,8280.0388,10121.336,16111.428,0,0,26622.761,382553.82,265566.03,116987.8
BovineMeat,0.0002226,0.0004478,0.0005972,0.0080314,0.0900737,0,3.2148497,0,69.818519,0.0259753,0.5431453,0.2055698,1.7315808,3.7718101,33.656393,36.304874,0.0008281,0.0528206,0.2165426,0.0158441,100.5551,97.169186,93.445819,0.5389412,1.2397938,0.0037235,0.5140432,153.18474,0,0,0.0001204,0.0028450,0.1609305,0.0055283,0.0004439,0.0001826,0.1811398,59.5454,49.404171,827.68799,332.32167,428.90635,452.44901,476.48102,552.27558,581.13662,633.68205,751.81827,819.60707,896.87652,7.2341888,0,1215.5447,8681.6312,8471.168,210.46324
RestFoodBeve,0.6502999,6.0447189,0.2375448,3.4493425,58.063272,0,430.33582,0,0,1.0521531,350.12221,177.26472,514.10022,963.33979,3869.6388,4424.5292,1.1789618,0.5476003,48.289502,4.0074261,1809.0132,16890.914,42904.085,38.130011,501.62692,1.8028251,61.376858,805.24434,27.284121,0.8137160,8.6026005,1.2123433,9.8493193,0.3383452,31.723514,0.0260375,7.3372217,2386.2689,2823.6606,60804.114,30814.861,36805.169,37390.383,35687.086,41613.378,42005.385,45530.769,50289.988,59104.801,75490.493,216.45997,0,108241.93,703156.97,673305.28,29851.696
Textiles,5.5323483,77.007107,3.0902641,0.1932410,0.2937801,0,1.6724817,0,36.322133,16.265659,1.7714975,82.538108,169.35231,260.99483,10.130384,11.176635,3.6631821,4.9826427,158.53522,1.7253641,155.87767,17.96909,217.81912,9264.2969,112.61457,20.252454,532.85505,20106.607,24.852926,0.7412086,0.000078,12.295103,10.876762,0.3736401,0.0002876,0.7418383,8.7254493,43.498745,31.491436,1928.2065,843.8249,1125.2985,1304.6239,1428.2462,1654.2715,1994.7161,2330.2031,2849.3812,3636.7596,6276.2736,0,0,1900.1754,58679.117,48813.183,9865.9345
PaperPulp,0.2751420,21.13555,1.2296975,3.9302912,0.6976634,14.674419,2.1423871,14.84253,44.985269,21.512042,4.2069182,30.945948,64.491634,103.68201,30.621297,34.487398,168.26249,24.790834,54.692848,14.134414,835.64153,711.98923,2443.9227,291.37471,5303.1652,450.90049,141.78359,5272.2353,64.531981,1.9245886,2.0963225,25.459392,22.970606,0.7890896,7.7305362,1.511327,27.043952,552.17462,427.34337,7931.6519,91.246398,138.78663,162.4133,166.5124,261.1755,337.26336,565.12005,773.59888,1504.873,2694.5957,0,0,9982.0334,41849.6,39299.261,2550.3389
Ceramics,4.9814177,40.768943,9.4607768,2.7037378,21.099944,0,8.076436,0,175.40005,358.23452,127.23291,1593.2293,3356.72,5250.4216,2443.5486,2692.3531,2210.9952,1037.8991,313.70467,35.345128,3143.1636,45.224431,7943.1291,125.90654,663.63559,5896.1592,71998.47,15899.832,0.1541322,0.0045968,0.0016959,0.0446386,2.2672577,0.0778852,0.0062539,0.0025721,235.95369,434.91945,698.62029,33190.709,293.1254,302.13741,368.63495,391.00474,478.35926,690.12431,794.65546,1112.6117,1847.5136,4482.9986,0,0,20517.772,191239.39,181882.65,9356.7487
Construction,0.0692082,1152.4279,40.91676,1.4184926,0.2165946,0,0.7644848,0,16.602703,5.2783853,1.306068,2.8000393,6.2805742,20.926187,14.503438,16.085891,0.7017560,84.397918,1228.942,43.656429,78.243324,4.9134814,138.22149,1.1989836,9.4982222,2.1239986,29628.275,694.42329,161.80814,4.8257329,0.4367073,20.623317,102.67016,3.5269402,1.6104304,1.0164544,4258.8997,1309.0114,1630.4578,29817.004,0,0,0,0,0,0,0,0,0,0,0,436834.56,235.77153,507576.42,507019.51,556.91099
OthIndustry,35.854035,6764.036,419.25736,45.486714,21.992108,192.24559,40.241971,194.44796,853.75347,8033.551,132.61267,289.91536,664.94796,1125.7107,1842.2331,2060.2751,913.45169,9315.5723,8137.4195,2038.0267,7502.5416,2991.1967,18922.878,771.92722,3694.0277,2561.3953,65408.943,245517.98,13411.207,399.9731,380.80756,1874.7389,5937.0379,203.94998,1404.2909,94.86157,2800.9852,4883.9215,35195.451,134575.37,10955.979,15223.526,19058.32,20925.784,27206.443,34668.143,44109.523,62279.406,90729.698,215020.08,8228.0016,275827.45,132824.55,1548711.4,1217242.8,331468.63
FreightRoad,50.418598,7535.2459,489.14322,221.57659,118.14172,1599.0249,138.08346,1617.3434,2830.7978,9936.2462,1071.6487,4708.9644,3578.7282,14942.45,3218.8848,4194.5552,1150.3263,17336.853,6042.5764,2347.7986,33145.328,20337.91,100343.97,4031.0246,10929.787,5932.2766,14835.07,112559.92,89558.817,4665.5479,94.136804,7281.1767,69350.219,2382.3287,347.14505,170.46875,2167.0527,811.67412,1588.1691,171111.37,115.49391,172.45373,201.56692,222.81494,306.68042,364.11567,481.51623,633.67771,962.79305,2284.3181,0,0,4310.8662,744828.49,744711.65,116.84269
FreightRail,820.99933,4484.0072,196.77036,131.85383,20.201933,951.53354,82.169482,962.43435,1684.526,1699.0727,121.81789,439.08496,48060.183,8985.8574,231.00324,331.17212,14997.257,2771.9688,143292.26,353.85555,5296.857,3201.8076,15571.911,629.39619,1755.3803,864.01067,1236.266,17681.685,15314.329,456.73142,11.404232,712.18366,6757.3481,232.12939,42.054992,16.64923,193.1835,74.673276,245.99397,29135.068,19.799826,29.564795,34.555847,38.198525,52.576096,62.422571,82.549267,108.63524,165.05749,391.61459,0,0,739.0381,331771.1,331721,50.101548
FreightAir,0.0064939,34.230404,1.4050336,0.1199529,0.0057569,0.2183933,0.0206778,0.2208952,0.4261200,8.6324153,0.0347143,0.0032674,0.0067868,0.1231702,0.0421878,0.0342557,0.5855842,1.8675672,1.0620123,0.3867454,11.782107,3.7715215,24.765046,0.7968406,2.3113516,1.586845,29.221376,45.244012,3.4700981,0.1034915,0.0569181,2.1663625,1.440673,0.0494902,0.2098949,0.1324341,1.1521728,57.061742,10.927321,528.97674,0,0,0,0,0,0,0,0,0,0,0,0,1049.6147,1824.2736,1496.3969,327.87668
FreightWater,11.381259,37849.909,1339.9748,288.97143,0.1095819,1879.1698,167.80134,1900.6976,3446.7574,0,0.6607804,0,0,9.4832069,4.8091568,0.3877163,240.7261,2370.7721,647.98208,111.98569,6079.8789,4886.794,7879.7305,107.09475,9375.0988,464.06004,2090.3147,9583.8624,3540.5793,105.59351,0,8009.552,1554.3026,53.393629,0,507.2621,0,0,0,20654.043,0,0,0,0,0,0,0,0,0,0,0,0,32255.766,157418.9,130573.99,26844.918
PassRoad,4.4726138,2205.8016,78.267934,3.3783766,9.4535625,0,15.840991,0,344.02683,7.9276542,340.18703,1000.5453,2141.6727,3420.3839,2630.7948,3128.1613,418.35316,590.50407,3338.8632,161.03161,20857.659,2897.5695,10003.429,155.15633,411.91692,1135.4033,11413.757,28766.223,14792.936,441.1815,248.03914,798.29168,368.61266,227.79651,914.6854,23.163954,1465.3887,25865.815,10786.268,158519.31,38866.539,56811.47,66941.741,68784.765,79537.032,94147.813,96036.682,99793.264,108548.37,95283.998,0,0,5133.5343,1119817.5,1094621.6,25195.848
PassRail,0.1867218,92.087376,3.2675145,0.1410398,0.3946655,0,0.6613266,0,14.362365,0.3309622,2.3798375,0.2175431,0.4651433,1.7525068,0.4119599,2.5055113,17.275677,23.598718,133.66884,5.1474109,100.47466,11.231696,45.791765,2.2068359,0.8123349,46.590625,25.717471,638.49497,30.034233,0.8957348,0.0015337,1.3764225,15.388769,0.5286372,0.0056559,0.0313495,4.5210994,953.51925,279.14184,2387.9216,1622.5927,2371.7542,2794.6708,2871.613,3320.4965,3930.4646,4009.3207,4166.1497,4531.6561,3977.8978,0,0,214.31379,38654.471,37602.6,1051.8714
PassAir,0.9505130,5010.2913,205.65423,17.557455,0.8426393,31.966147,3.0265967,32.332352,62.371026,1263.5233,5.0811248,0.4782539,0.9933864,18.028376,6.1750183,5.0139964,85.711733,273.3551,155.44633,56.60777,1724.5425,552.03617,3624.8503,116.63325,338.31166,232.2659,4277.1217,6622.3488,507.91694,15.148011,8.3310793,317.08965,210.87076,7.2438629,30.722234,19.384327,168.64309,8352.1055,1599.4279,77426.124,2032.8078,2971.3682,3501.2043,3597.5986,4159.9664,4924.1433,5022.9354,5219.4131,5677.3248,4983.5683,0,0,0,155476.85,127533,27943.854
PassWater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.167202,111.33409,131.1865,134.79829,155.86963,184.50255,188.20419,195.566,212.72348,186.72914,0,0,0,1577.0811,1278.7382,298.34289
WaterSewage,1.1751577,36.459194,2.3889979,11.126023,0.0606940,84.963057,3.1309078,85.936398,59.067316,49.072114,0.3659858,0.3772473,0.7868618,13.699844,2.3800942,0.8512565,128.7315,4036.4418,304.49604,1700.8322,1068.7917,92.036068,1369.4382,63.069984,302.81486,344.99941,202.01883,2748.2006,170.11628,5.0735132,1.2107114,24.565406,95.256417,3.2722622,4.4646988,1.2536601,910.94221,1380.319,3272.6904,23523.341,1084.3891,1417.1474,1803.548,1930.8197,2197.0145,2519.2339,2732.9024,3167.031,3159.6566,3818.7902,0,0,3.854286,65940.605,65940.605,0
Education,0.0541894,31.352338,2.9058692,0.8869911,0.0206834,1.7349595,0.1437910,1.7548353,2.9404673,80.245077,0.1247209,0.4101826,0.8546402,2.5944826,0.8096005,0.4491757,0.0062777,176.83433,135.38559,53.961634,39.969732,7.7663246,190.03411,1.7208407,38.046472,0.1951662,3.6720007,319.16572,601.53555,17.940073,3.2344476,92.817465,267.47054,9.1881865,11.927561,4.8150185,2.6555538,511.51741,583.16248,10039.7,1133.7118,1855.0059,2241.0657,2353.3623,3593.5839,4916.7825,8046.135,11175.291,22735.99,45344.894,287132.78,0,78.007276,403846.61,402912.72,933.88598
Health,0,0,0.0006575,0,0,0,0,0,0,0.0293766,0,0,0,0.0559973,0.0008860,0.0001608,0,0,0.0006957,0,0.0530370,0,0,0,0,0,0,0.0662500,0,0,0.0001361,0.0032176,0.1820031,0.0062522,0.0005020,0.0002065,0.2048587,4.8819226,21142.696,139.42482,1775.9889,2290.114,3478.8689,4235.9339,5903.0134,9765.8128,12280.289,19719.699,34980.686,76536.834,208469.67,0,227.01682,400951.53,400290.52,661.01141
Composite,96.315234,33898.608,1636.2228,535.23341,86.633635,3218.2237,327.97796,3255.0918,6784.682,19487.213,258.13459,1808.8549,3998.7103,2478.6277,1942.6331,5014.5665,1515.4761,19083.985,22519.222,4825.1392,45529.158,17865.359,118475.5,4405.1383,13577.98,9405.4835,65085.753,202904.28,34062.881,413.85862,5776.1746,8978.3481,13220.975,243.90321,18279.091,388.36843,13162.867,59692.213,58857.775,1527047.6,29234.538,43231.801,58642.875,71107.324,89250.99,118615.99,145905.55,185719.26,276363.55,570410.51,655928.72,223246,105757.86,4923559.2,4735365.4,188193.81
ktoe_ktons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
