,Coal,CrudeOil,NaturalGas,OthFossFuel,OthBiofuel,Diesel,Biodiesel,Gasoline,Ethanol,Electricity,PlantedForest,SugarCane,Soy,RestAgri,Cattle,RestLivestoock,Cement,IronSteel,MiningPellet,NonFerrousMetals,Chemical,BovineMeat,RestFoodBeve,Textiles,PaperPulp,Ceramics,Construction,OthIndustry,FreightRoad,FreightRail,FreightAir,FreightWater,PassRoad,PassRail,PassAir,PassWater,WaterSewage,Education,Health,Composite,C_H1,C_H2,C_H3,C_H4,C_H5,C_H6,C_H7,C_H8,C_H9,C_H10,G,I,X,Tot_uses,Y,M
RestLivestoock,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1218.2514,1175.3464,1217.5078,1000,1000
Cement,291.69076,291.69076,291.69076,291.69076,291.69076,291.78719,291.69076,291.78719,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.69076,291.78719,291.78719,291.78719,291.78719,291.78719,291.78719,291.78719,291.78719,291.78719,291.78719,291.78719,291.78719,291.69076,291.69076,292.65924,250.3229
IronSteel,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,2033.9484,1993.0854,2033.9484,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,1993.0854,2033.9484,1993.0854,1993.0854,1993.0854,2031.8679,1685.9265
MiningPellet,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1246.4821,1188.3745,1214.7241,1000,1000
NonFerrousMetals,3624.353,3624.353,3624.353,3624.353,3624.353,3712.4064,3624.353,3712.4064,3624.353,3624.353,3624.353,3712.4064,3712.4064,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3624.353,3712.4064,3712.4064,3624.353,3624.353,3691.0615,3326.0357
Chemical,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1343.5584,1214.2304,1334.5582,1000,1000
BovineMeat,20810.123,20810.123,20810.123,20810.123,20810.123,21109.812,20810.123,21109.812,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,21109.812,21109.812,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,20810.123,21109.812,20810.123,20810.123,21131.974,7855.5726
RestFoodBeve,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1403.2033,1251.2526,1379.8124,1000,1000
Textiles,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1547.8657,1382.0439,1542.4959,1000,1000
PaperPulp,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2609.6469,2678.5239,2678.5239,2609.6469,2609.6469,2659.8976,1835.3131
Ceramics,389.78667,389.78667,389.78667,389.78667,389.78667,394.28899,389.78667,394.28899,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,389.78667,394.28899,394.28899,389.78667,389.78667,379.92257,581.5316
Construction,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1050.5974,1000,1050.5739,1000,1000
OthIndustry,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1433.6256,1282.7551,1420.6863,1000,1000
FreightRoad,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.24526,220.32222,220.32222,220.24526,220.24526,220.24526,220.24526
FreightRail,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.337669,15.339643,15.339643,15.337669,15.337669,15.337669,15.337669
FreightAir,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,5706.086,6028.664,6028.664,6028.664,6028.664,6028.664,6028.664,6028.664,6028.664,6028.664,6028.664,6028.664,6028.664,5706.086,5706.086,5706.086,5706.086
FreightWater,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,207.35271,201.50484,207.35271,207.35271,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,201.50484,207.35271,201.50484,201.50484,201.50484,207.35271,201.50484,207.35271,207.35271,207.35271,201.50484,207.35271,207.35271,207.35271,207.35271,207.35271,207.35271,207.35271,207.35271,207.35271,207.35271,207.35271,207.35271,201.50484,201.50484,201.50484,201.50484
PassRoad,127.31472,127.31472,127.31472,127.31472,127.31472,127.34213,127.31472,127.34213,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.31472,127.34213,127.34213,127.31472,127.31472,127.31472,127.31472
PassRail,104.7608,104.7608,104.7608,104.7608,104.7608,104.79415,104.7608,104.79415,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.7608,104.79415,104.79415,104.7608,104.7608,104.7608,104.7608
PassAir,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,246.89601,237.51633,246.89601,246.89601,246.89601
PassWater,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1296.275,1168.4865,1296.275,1296.275,1296.275
WaterSewage,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1093.5087,1046.7997,1093.506,1000,1000
Education,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1005.0086,1000,1005.0077,1000,1000
Health,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1014.8895,1000,1014.8811,1000,1000
Composite,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,876.61405,818.77274,875.37163,1000,1000
euro_per_tep_euro_per_tons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
