"Household Identifier (French metropolitain households only)
Source : table ""households"" in BDF, INSEE";"INSEE Statistical ponderation (for making the sample representative for the total French metropolitan population)
Source : table ""households"" in BDF, INSEE";"Expenditures (COICOP)
Food and non alcoholic beverages
Source : table ""Expenditures"", BDF, INSEE";"Expenditures (COICOP)
Acoholic beverages, tabocco and narcotics";"Expenditures (COICOP)
Clothing and footware";"Expenditures (COICOP)
Housing, electricity, gas and other combustibles";"Expenditures (COICOP)
Furnitures, housekeeping and home maintenance";"Expenditures (COICOP)
Health";"Expenditures (COICOP)
Transports";"Expenditures (COICOP)
Communications";"Expenditures (COICOP)
Leisure and culture";"Expenditures (COICOP)
Education";"Expenditures (COICOP)
Hotels and restaurants";"Expenditures (COICOP)
Miscellaneous goods and services";"Expenditures (COICOP)
Taxes, loan payments, large works, savings, and employer's fees";"Expenditures (COICOP)
Housing allocations received (APL)";"Total final consumption expenditures 
Include items C1 to C12 ";;"Total current income divided by the number of consumption units according to the OECD equilence scale
(standard of leaving definition)
Computed ";"Standard of leaving decile
(computed using revtotuc)";"Total number of people
Source : Table ""Households"" from BDF, INSEE";"Number of pensioners
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 5 (retired or ""pre-retired"") for variable SITUA (labour market status).";"Number of unemployed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 4 (unemployed people registered or non to the French employment office) for variable SITUA (labour market status).";"Number of employed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 1 (employed) and 2 (pais apprentice/trainee) for variable SITUA (labour market status).";"Number of consumption units (OECD equivalent scale : 1 for the first adult, 0.5 for each person older than 14, 0.3 for each person younger than 14)
Source : Table ""Households"" from BDF, INSEE";"Net wages
Source : Table ""Households"" from BDF, INSEE";"Incomes of self-employed persons
Source : Table ""Households"" from BDF, INSEE";"Unemployment benefits
Source : Table ""Households"" from BDF, INSEE";"Pension benefits
Source : Table ""Households"" from BDF, INSEE";"Social benefits
Source : Table ""Households"",  BDF, INSEE";"Other social benefits 
Computed : Social Benefits (revsoc) minus Pension Benefits (retraites) minus Unemployment Benefits (chomage)
Source (revsoc, retraites, chomage): Table ""Households"",  BDF, INSEE";"Property income
Source : Table ""Households"" from BDF, INSEE";;;;;;;;;;;;;;
1427;2331,136151;856;0;648;1200;455;358;1053;581;696;0;3628;1787;6618;0;11262;5472;22170;7;1;0;0;1;1;22170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1429;3959,201183;2294;850;1050;0;2406;0;9430;180;6577;0;0;2414;3452;0;25201;6600;29480;9;1;0;0;1;1;29480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1431;3455,502234;705;0;615;3948;169;84;1885;658;58;0;0;403;1440;2532;8525;0;9519;1;1;0;0;0;1;6970;0;0;0;2532;2532;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0
1432;2427,144647;47;0;498;975;0;138;600;150;1151;0;0;1197;3052;0;4756;4212;24701;7;1;1;0;0;1;0;0;0;24680;24680;0;21;21;0;0;0;0;0;0;0;0;0;0;0;0;0
1433;1390,809686;4726;0;1913;1935;400;0;1898;610;3567;0;650;2242;5101;0;17941;6468;17821;5;2;0;0;2;1,5;20000;0;5940;0;5940;0;792;205;0;248;0;339;0;0;0;0;0;0;0;0;0
1434;2283,738931;3194;0;534;1500;1853;606;0;672;615;0;0;1960;5228;0;10934;6624;36467;9;2;1;0;0;1,5;0;0;0;53400;53400;0;1301;149;0;0;0;0;1152;0;0;0;0;0;0;0;0
1436;1068,799875;12930;4207;2897;10724;8437;60;20848;900;3449;0;2940;5556;13942;0;72948;0;40144;10;2;0;0;2;1,5;60190;0;0;0;0;0;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0
1437;3214,920358;332;0;18;5520;0;327;0;396;0;0;0;260;0;2400;6853;0;10193;2;2;1;0;0;1,5;0;0;0;11290;15290;4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1438;1130,112738;9702;0;1852;5550;227;0;16627;1445;6136;0;4394;3485;10302;0;49418;4200;17296;5;5;0;0;1;2,8;41480;0;0;0;6950;6950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1439;1720,516393;1963;767;1305;12982;120;1529;3958;951;2063;4600;1460;4521;8269;0;36219;0;20053;6;2;0;0;1;1,5;28260;0;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0
1441;5591,469193;3095;0;168;2520;7301;78;0;1234;2132;0;1200;3042;13920;0;20770;5580;30017;9;4;0;0;1;2,1;11130;47050;0;0;4670;4670;185;24;0;161;0;0;0;0;0;0;0;0;0;0;0
1442;3696,953785;3295;0;395;7344;0;270;12189;1032;1458;0;1718;9362;-515;0;37063;0;21231;6;3;0;0;2;1,8;33180;0;1430;0;3600;2170;1436;911;129;201;3;192;0;0;0;0;0;0;0;0;0
1444;3491,92044;2457;0;492;6815;11;0;516;390;121;0;0;2015;5435;0;12817;0;5855;1;1;0;0;1;1;5850;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0
1446;3053,586769;2120;0;0;8580;97;683;30;136;121;0;0;966;911;1032;12733;0;8562;1;1;0;0;0;1;0;0;0;7530;8562;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1447;2279,775405;2653;488;269;3020;578;0;1649;1035;779;0;300;7468;2699;0;18239;4224;4113;1;2;0;0;1;1,5;5810;0;0;0;360;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1448;4033,58237;501;0;192;2187;0;252;0;1600;453;0;0;2364;3472;0;7549;3396;11999;2;1;1;0;0;1;280;0;5350;3960;9310;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0
1449;1357,156457;2549;155;0;5432;317;0;1672;1291;424;0;0;1854;1935;2928;13694;0;11813;2;1;0;0;1;1;6330;0;0;0;5468;5468;15;8;0;0;0;7;0;0;0;0;0;0;0;0;0
1450;3538,22896;1105;786;1988;5537;400;108;9570;1157;5952;0;1872;2590;3073;0;31065;0;12915;3;2;0;0;1;1,5;19280;0;0;0;0;0;93;40;0;53;0;0;0;0;0;0;0;0;0;0;0
1451;2079,678404;1593;1263;750;8399;1461;120;4130;732;12308;0;1172;5228;8704;0;37156;0;39478;10;1;0;0;1;1;39440;0;0;0;0;0;38;38;0;0;0;0;0;0;0;0;0;0;0;0;0
1453;1945,68711;1100;0;300;7812;2890;0;110;396;1521;0;0;1374;3220;0;15503;0;20478;6;1;0;0;1;1;20450;0;0;0;0;0;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0
1455;2998,80001;7554;1484;275;3940;470;120;11203;463;1505;0;1592;15969;8575;0;44575;3540;37817;10;1;1;0;0;1;0;0;37370;0;37370;0;447;345;93;0;9;0;0;0;0;0;0;0;0;10200;0
1458;4832,138011;257;93;242;350;358;0;200;968;121;0;0;360;0;0;2949;4980;5310;1;1;1;0;0;1;300;0;0;0;5010;5010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1459;1674,424876;6964;1224;9503;10920;2145;788;10480;2957;6926;360;14534;9435;28752;0;76236;0;26770;8;3;0;0;1;2;53540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1460;992,6796781;9839;11655;1420;1905;4341;351;0;540;2501;0;2616;5482;16217;0;40650;6288;24718;7;3;1;0;2;2;48760;0;0;0;0;0;676;339;0;337;0;0;0;0;0;0;0;0;0;0;0
1461;3996,026882;723;0;444;2340;8;0;720;324;0;0;728;451;0;0;5738;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1463;1648,104328;2803;689;485;2300;349;535;312;510;1977;0;0;3362;4594;0;13322;4788;21175;6;2;2;0;0;1,5;0;0;0;31750;31750;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0
1465;3410,017124;1184;0;0;7548;342;2045;0;192;52;0;0;165;0;444;11528;0;9254;1;1;1;0;0;1;0;0;0;6600;9254;2654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1468;3860,38585;2527;0;621;2516;10575;729;3206;507;4915;0;960;18504;19292;0;45060;6420;28090;8;1;0;0;1;1;28090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1469;1045,771809;6681;0;1327;2150;1399;360;7037;1992;1667;15;1673;6854;3698;0;31155;3876;18274;5;4;0;0;2;2,3;32200;0;0;0;8750;8750;1081;112;0;527;0;442;0;0;0;0;0;0;0;0;0
1471;3751,576794;562;0;135;6430;92;132;2133;1284;406;660;0;2598;18;0;14432;0;2694;1;3;0;0;2;1,8;0;4540;0;0;280;280;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0
1473;2722,05227;0;0;7587;1960;4521;282;10000;1201;1231;0;36;16339;145128;0;43157;11724;21233;6;3;0;0;2;1,8;36020;0;0;0;2190;2190;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0
1475;3704,534083;5609;0;2073;10618;390;1;3050;1204;2326;0;1615;2898;4252;0;29784;0;29186;9;2;0;0;2;1,5;43620;0;0;0;0;0;159;70;0;89;0;0;0;0;0;0;0;0;0;0;0
1476;2091,840005;6161;0;567;3254;2954;1135;4858;534;1497;0;632;6368;12568;0;27960;10464;21357;6;2;1;0;1;1,5;3540;0;0;23000;23000;0;5496;78;0;0;1;1817;0;0;3600;0;0;0;0;0;0
1477;3181,099313;6655;1820;0;2950;4675;0;5890;540;855;0;1400;5016;4092;0;29801;8076;29301;9;2;0;0;2;1,5;22360;15590;0;0;0;0;6001;86;0;86;16;228;0;0;5585;0;0;0;0;0;0
1479;1628,846748;3067;1186;3424;9351;5470;500;12410;3192;7271;0;2515;5929;23190;0;54315;4140;65707;10;2;1;0;1;1,5;63780;0;0;26980;26980;0;7800;402;0;32;322;444;0;0;6600;0;0;0;0;0;0
1481;1331,940863;9123;483;1793;2330;1799;516;10418;921;7833;0;1600;6146;19712;0;42962;12984;25852;8;2;2;0;0;1,5;20470;0;0;13290;13290;0;5018;981;0;737;0;0;0;0;3300;0;0;0;0;0;0
1483;2213,976948;8708;1139;129;1755;0;520;0;552;745;0;0;2948;2520;0;16496;7512;17777;5;2;2;0;0;1,5;0;0;0;25780;25780;0;885;14;0;97;83;691;0;0;0;0;0;0;0;0;0
1484;4573,627173;3674;0;0;1240;489;1290;0;348;1759;0;634;2680;3428;0;12114;5604;22609;7;2;2;0;0;1,5;0;0;0;33670;33670;0;244;244;0;0;0;0;0;0;0;0;0;0;0;0;0
1487;2533,387166;1994;4642;1020;4378;349;216;692;1108;1333;5000;5706;656;845;3264;27094;0;17351;5;2;0;1;0;1,5;10970;0;0;0;3264;3264;2192;1;0;2191;0;0;0;0;0;0;0;0;0;0;0
1488;3241,844002;4201;0;2323;4929;1700;6;583;833;1814;0;1600;7357;4715;0;25346;4980;34781;9;1;1;0;0;1;0;0;0;28100;28100;0;6681;642;0;639;0;5400;0;0;0;0;0;0;0;0;0
1489;1155,804019;3035;2028;1612;1958;3745;696;7636;944;5238;24;2340;3809;32155;0;33065;5304;19807;6;4;0;0;2;2,1;36520;0;0;0;4430;4430;645;251;0;132;0;262;0;0;0;0;0;0;0;0;0
1490;3655,572941;1636;307;2172;6466;112;180;490;651;2725;0;1347;285;1955;0;16371;0;21543;6;1;0;0;1;1;21540;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0
1491;3056,768381;2547;0;96;11490;1083;120;60;771;1060;0;0;2006;684;0;19233;0;3635;1;4;0;0;0;2,3;0;0;0;0;8360;8360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1494;3428,728745;2137;4441;1170;2105;562;120;2856;856;2143;0;782;1388;10327;0;18560;4116;20297;6;1;0;0;1;1;20290;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0
1495;1264,30172;603;0;3704;672;600;108;2455;460;1543;0;1962;3671;6936;0;15778;5652;31400;9;1;1;0;0;1;0;0;0;31400;31400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1497;1848,705416;6753;0;2079;7606;1235;138;8395;1115;1760;0;0;4099;1753;0;33180;0;16694;4;3;0;0;2;2;33120;0;0;0;0;0;268;268;0;0;0;0;0;0;0;0;0;0;0;0;0
1498;2696,374008;1242;0;0;8010;2090;5079;0;193;572;0;2221;1434;2104;0;20841;0;25558;8;1;0;0;0;1;0;0;0;21500;21500;0;4058;170;0;0;0;3888;0;0;0;0;0;0;0;0;0
1499;1935,893589;4445;0;3779;1468;1366;0;731;660;1207;0;3009;6549;12266;0;23214;6624;22589;7;2;0;0;1;1,5;28600;0;0;0;0;0;5283;1177;0;6;0;1400;0;0;2700;0;0;0;0;0;0
1501;1604,491182;19494;4719;6;2581;647;77;150;228;3035;0;0;3994;2081;0;34931;3468;18193;5;2;2;0;0;1,5;0;0;0;25670;25670;0;1620;178;0;0;0;242;0;0;0;1200;0;0;0;0;0
1503;2837,748707;10331;0;2325;9775;3437;506;1260;787;6699;0;2580;5271;35595;0;42971;5856;66909;10;2;0;0;2;1,5;32130;68020;0;0;0;0;214;31;0;0;0;183;0;0;0;0;0;0;0;0;0
1504;3159,376626;1549;0;0;8410;124;1;0;472;1200;0;0;184;0;0;11940;0;12170;2;1;0;0;0;1;0;0;0;12170;12170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1505;2544,824379;6075;1813;4112;17484;9587;652;26690;1248;2590;0;1092;2944;22572;0;74287;0;47265;10;2;0;0;2;1,5;68870;0;0;0;1610;1610;417;252;165;0;0;0;0;0;0;0;0;0;0;0;0
1507;3222,047907;5771;2454;656;7382;615;54;2960;1276;365;0;1094;3321;310;3132;25948;0;8802;1;4;0;0;1;2,1;0;11590;0;0;6832;6832;63;63;0;0;0;0;0;0;0;0;0;0;0;0;0
1509;3277,736069;1952;0;0;17250;2990;0;6492;4460;2268;5000;2368;1371;13050;0;44151;0;40260;10;2;0;0;1;1,5;57780;0;0;0;0;0;210;35;0;0;175;0;0;0;0;0;0;0;0;0;0
1510;2840,864338;1150;0;1199;5831;1140;60;1040;210;1048;0;0;2158;1615;0;13836;0;20845;6;1;1;0;0;1;0;0;0;20620;20620;0;225;225;0;0;0;0;0;0;0;0;0;0;0;0;0
1514;2069,90837;5796;0;1326;4362;5050;733;18636;1522;4914;0;4760;3616;16686;0;50715;13656;29195;9;4;0;0;2;2,3;62390;0;0;0;310;310;4448;531;0;372;30;3515;0;0;0;0;0;0;0;0;0
1516;3374,855766;2363;0;315;3033;379;24;0;819;0;0;0;465;300;3036;7398;0;6746;1;1;0;0;0;1;0;0;0;3710;6746;3036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1518;2369,009609;3321;0;254;1346;1595;751;60;540;2321;0;0;2817;1595;0;13005;4968;21126;6;2;1;0;1;1,5;14550;0;0;14430;14430;0;2709;1000;5;0;0;1704;0;0;0;0;0;0;0;400;0
1519;3059,187246;2437;598;5580;947;0;136;3000;456;139;0;0;2130;6032;0;15423;6324;14009;3;1;1;0;0;1;0;0;0;11420;11420;0;2589;520;0;74;100;371;0;0;0;1524;0;0;0;0;0
1520;3300,154323;1547;0;863;1920;0;0;1065;400;321;0;0;1672;0;2880;7788;0;9510;1;1;0;0;1;1;3010;0;0;3620;6500;2880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1521;1580,129501;1064;0;1169;2283;2086;385;2462;408;5391;0;4330;4568;15687;0;24146;8124;24322;7;2;1;0;0;1,5;28150;0;0;8040;8040;0;293;293;0;0;0;0;0;0;0;0;0;0;0;0;0
1522;1028,222465;3587;0;1647;1830;1518;863;3422;660;775;250;0;2645;4466;0;17197;7620;14531;3;3;0;0;1;2;17560;0;2550;0;11300;8750;201;201;0;0;0;0;0;0;0;0;0;0;0;0;0
1523;2393,64521;7145;0;1703;0;1876;120;3151;774;2651;0;165;31144;321058;0;48729;13296;32881;9;4;0;0;2;2,1;61380;0;0;0;6290;6290;1381;142;0;443;0;796;0;0;0;0;0;0;0;0;0
1524;2255,600557;1699;0;2697;2454;480;144;3241;909;7392;0;2160;6224;1290;3288;27400;0;8930;1;5;0;1;0;2,4;0;0;12310;0;21408;9098;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0
1525;2702,304627;24811;0;2084;3267;1142;678;14567;1824;527;0;0;6933;4950;0;55833;7992;23524;7;4;2;0;2;2,5;34080;0;0;24590;24590;0;140;0;0;0;0;140;0;0;0;0;0;0;0;0;0
1528;1770,624412;4106;0;815;1577;2587;664;3965;814;2047;0;337;3035;1864;0;19947;4068;9152;1;2;0;0;1;1,3;9920;0;0;450;750;300;1227;295;0;452;0;480;0;0;0;0;0;0;0;0;0
1530;1955,675172;3630;0;1673;2008;455;156;320;1054;933;450;0;4987;1371;0;15666;8424;4258;1;4;0;1;2;2,5;7730;2760;0;0;0;0;155;108;0;47;0;0;0;0;0;0;0;0;0;0;0
1531;2914,966216;11327;0;320;5793;3634;355;679;378;1115;0;1040;5167;3000;2892;29808;0;13183;3;2;0;0;1;1,5;4690;0;0;11950;14842;2892;242;242;0;0;0;0;0;0;0;0;0;0;0;0;0
1532;2607,770257;10656;0;1027;6198;3270;330;9416;1304;5481;5400;9136;4189;5761;0;56407;11760;23963;7;5;0;0;1;2,8;61650;0;0;0;4870;4870;575;575;0;0;0;0;0;0;0;0;0;0;0;0;0
1534;2492,332293;2946;0;1032;3636;729;663;1593;1542;12250;0;2709;4906;26156;0;32006;16224;27740;8;3;0;0;2;1,8;47580;0;0;0;2180;2180;172;172;0;0;0;0;0;0;0;0;0;0;0;0;0
1536;1681,360802;8438;3361;658;8036;1012;261;742;1756;735;0;1727;3903;2372;0;30629;0;27545;8;3;1;0;2;2;48090;0;0;7000;7000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1538;2260,170741;9314;774;42;4491;860;111;2080;660;1240;0;185;7155;1527;0;26912;4632;13405;3;2;1;0;0;1,5;0;0;0;20080;20080;0;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0
1539;1942,158902;6203;555;2125;2023;4774;1989;270;736;4824;0;5596;6420;8305;0;35515;3648;26524;8;2;0;0;2;1,5;36840;0;0;0;0;0;2946;0;0;287;0;2659;0;0;0;0;0;0;0;0;0
1540;2396,887385;8634;122;885;11316;5132;1033;3129;761;2277;0;4478;8761;4504;0;46528;5508;28664;8;2;2;0;0;1,5;0;0;0;35740;35740;0;7256;727;0;0;136;793;0;0;5600;0;0;0;0;0;0
1542;4004,066046;8509;3195;104;316;180;0;0;0;622;0;0;2238;171;0;15164;4572;5090;1;1;0;0;0;1;0;0;0;0;5080;5080;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0
1543;3419,910051;17870;0;421;3930;900;1918;2160;1028;5361;1800;3518;2766;11597;0;41672;17088;24698;7;4;0;0;1;2,1;27150;0;0;14210;15700;1490;9015;49;0;0;23;143;0;0;8800;0;0;0;0;0;0
1548;3213,229672;567;2969;462;4841;901;348;4740;930;3381;0;2409;5400;13334;0;26948;9300;20029;6;4;0;0;3;2,3;38070;0;0;6900;7660;760;336;325;0;11;0;0;0;0;0;0;0;0;0;0;0
1549;2587,173633;4385;1118;2226;1237;1858;944;14375;1092;777;0;600;8784;53923;0;37396;7440;25787;8;2;0;0;2;1,5;34000;0;970;0;4680;3710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1550;1495,226221;4215;0;360;6822;264;888;0;396;732;0;0;1298;711;0;14975;0;22802;7;1;1;0;0;1;0;0;0;20060;20060;0;2742;1286;271;0;0;1185;0;0;0;0;0;0;0;0;0
1551;2422,414044;2231;0;1075;2039;730;472;3600;2664;12916;0;2396;7082;37024;0;35205;13008;29186;9;4;0;0;2;2,1;51890;0;1800;0;9400;7600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1552;1860,649193;7307;698;1824;3169;465;0;2711;450;2586;0;700;2892;5656;0;22802;3120;22079;7;2;2;0;0;1,5;0;0;0;29330;29330;0;3789;269;0;18;111;391;0;0;3000;0;0;0;0;0;0
1553;1891,39922;9569;0;2599;2956;4152;486;21359;496;1383;0;1528;5501;7444;0;50029;6744;12992;3;5;0;1;2;2,6;25660;0;6010;0;8100;2090;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0
1554;2985,287573;2872;1289;0;2637;415;0;3000;286;416;0;0;2613;8230;0;13528;3948;8953;1;2;1;1;0;1,5;0;0;0;13430;13430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1555;874,4811979;16159;0;8354;12870;6958;24;32424;6198;7706;10133;9317;29631;217425;0;139774;9192;24990;8;7;1;0;1;4;78570;0;0;7690;11630;3940;9759;61;0;571;0;9127;0;0;0;0;0;0;0;0;0
1557;3302,017994;4305;0;1476;7370;67;390;207;561;6540;0;0;4972;1524;0;25888;0;21247;6;2;0;1;1;1,5;19550;0;11410;0;12320;910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1558;2824,412659;3430;0;623;1372;1081;65;7470;1008;857;0;1580;3327;23;0;20813;3036;9511;1;4;0;0;1;2,1;0;13530;2780;0;6410;3630;34;34;0;0;0;0;0;0;0;0;0;0;0;0;0
1561;3540,264122;4774;0;0;2140;6822;30;655;1147;4473;0;5042;2585;8638;0;27668;7704;56900;10;1;0;0;1;1;56440;0;0;0;0;0;460;128;0;0;0;332;0;0;0;0;0;0;0;0;0
1562;1563,118504;2698;0;1727;4249;3193;310;5816;652;1626;0;506;3894;12313;0;24671;8196;11029;2;4;0;0;2;2,1;17860;0;0;0;5250;5250;51;45;0;0;6;0;0;0;0;0;0;0;0;0;0
1566;2167,390589;6597;0;0;5883;238;54;0;900;589;0;0;1249;3432;0;15510;0;29698;9;1;1;0;0;1;0;0;0;29680;29680;0;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0
1567;3688,420343;10;0;608;2680;0;73;1436;685;692;2000;415;865;50;1800;9464;0;7847;1;1;0;0;0;1;0;0;0;0;1800;1800;47;47;0;0;0;0;0;0;0;0;0;0;0;0;0
1568;2244,97928;1937;0;1108;5226;728;643;2650;611;2385;3456;1746;2705;5152;2544;23195;5928;10483;2;3;0;0;1;2;13980;0;0;0;6514;6514;471;232;0;239;0;0;0;0;0;0;0;0;0;0;0
1569;2375,830638;1282;0;519;1650;5;0;1040;658;4705;0;2311;2889;7397;1500;15059;7740;17029;5;4;0;0;2;2,1;32180;0;0;0;3580;3580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1570;3146,30042;94;0;680;6120;40;138;0;888;2338;300;4846;778;451;0;16222;0;2416;1;1;0;0;0;1;0;0;0;0;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0
1571;4038,614705;695;5008;1048;6164;0;18;0;344;1071;0;343;1352;2148;0;16043;0;31636;9;1;0;0;1;1;31560;0;0;0;0;0;76;24;0;13;0;39;0;0;0;0;0;0;0;0;0
1572;4136,172068;4112;307;3788;3965;8514;6;89620;978;15688;0;650;4985;19808;0;132613;9540;33959;9;3;0;1;0;1,8;0;0;11550;0;11550;0;49576;7091;3798;109;0;5578;0;0;33000;0;0;0;0;0;0
1573;1299,554837;6734;1349;854;1448;790;243;2581;1511;3182;2000;3488;7508;5180;0;31688;3696;14925;4;3;0;0;2;2;17430;11870;0;0;0;0;549;8;0;266;0;275;0;0;0;0;0;0;0;0;0
1575;2311,057566;3096;0;119;1282;676;11;0;360;51;0;0;2357;-10;0;7952;1764;12760;3;1;1;0;0;1;0;0;0;12590;12590;0;170;170;0;0;0;0;0;0;0;0;0;0;0;0;0
1576;1951,528835;4648;0;180;1110;0;0;50;360;641;0;2236;1558;350;0;10783;3432;12410;2;1;1;0;0;1;0;0;0;12410;12410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1578;3447,216613;1174;0;1926;7568;0;0;2068;859;3521;0;4458;1331;2188;0;22905;0;31566;9;1;0;0;1;1;30010;0;0;0;0;0;1556;77;0;1346;0;133;0;0;0;0;0;0;0;0;0
1579;1319,798305;5882;0;2168;1908;3370;655;23484;1083;10393;0;6509;10695;2562;0;66147;9396;23569;7;5;0;0;2;2,4;25720;14450;0;0;5830;5830;9366;46;0;0;0;0;0;0;9320;0;0;0;0;0;0
1580;5288,658799;6160;0;18231;14685;5130;217;2092;669;5885;0;1431;4583;2513;0;59083;0;18960;5;4;0;0;1;2,1;37300;0;0;0;1520;1520;995;91;0;580;0;108;0;216;0;0;0;0;0;0;0
1581;2133,615494;2120;936;1161;4852;1054;463;132;540;5709;0;440;5578;4145;3408;22985;0;10882;2;5;0;0;2;2,4;15840;0;440;0;10188;9748;89;89;0;0;0;0;0;0;0;0;0;0;0;0;0
1585;3414,664473;2454;98;90;2790;0;575;149;1418;861;0;0;673;330;2880;9108;0;7890;1;1;0;1;0;1;0;0;0;0;7890;7890;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1587;2494,028671;2199;1066;299;1583;800;6;2080;1060;820;0;0;2086;6590;0;11999;4608;21532;6;2;0;1;1;1,5;25470;0;5990;0;5990;0;838;329;0;509;0;0;0;0;0;0;0;0;0;0;0
1588;3336,975587;1325;0;363;6080;350;6;0;444;982;0;364;1318;0;0;11232;0;15080;4;1;1;0;0;1;0;0;0;15080;15080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1589;4913,858841;2583;1165;359;1250;2205;78;18580;847;2307;0;100;1883;16405;0;31357;7092;27645;8;1;0;0;1;1;27410;0;0;0;0;0;235;196;0;39;0;0;0;0;0;0;0;0;0;0;0
1591;3388,668551;754;0;2661;7269;3149;250;2224;959;2243;0;0;1893;371;360;21402;0;17779;5;2;0;0;1;1,5;22130;0;3540;0;3900;360;638;179;0;459;0;0;0;0;0;0;0;0;0;0;0
1593;1440,310113;3108;163;0;1380;21;6;475;552;471;0;40;5908;13657;0;12124;5028;19832;6;2;0;0;2;1,5;20980;8640;0;0;0;0;128;105;0;0;23;0;0;0;0;0;0;0;0;0;0
1594;2317,952605;2627;0;2004;2588;3560;1843;13744;765;4342;0;333;7344;5955;0;39150;4476;20581;6;2;2;0;0;1,5;0;0;0;30800;30800;0;71;20;0;0;0;51;0;0;0;0;0;0;0;0;0
1595;4737,397097;1783;496;1316;8890;0;1863;1698;935;2584;0;366;3129;3932;0;23060;0;20048;6;3;0;0;2;2;17460;22610;0;0;0;0;26;8;0;18;0;0;0;0;0;0;0;0;0;0;0
1596;2995,817971;4437;1215;1450;9700;264;280;5136;296;1007;0;1720;4227;7824;0;29732;0;26767;8;3;0;0;3;2;53400;0;0;0;0;0;133;133;0;0;0;0;0;0;0;0;0;0;0;0;0
1599;3177,074354;8069;1144;1931;925;732;117;300;509;211;0;0;4845;22658;0;18783;5592;28198;8;1;0;0;1;1;0;27660;0;0;0;0;538;9;0;529;0;0;0;0;0;0;0;0;0;0;0
1600;2142,815934;4454;648;965;2722;537;12;2652;360;3167;0;0;2554;2029;0;18071;3984;17742;5;2;1;0;0;1,5;0;0;0;25920;25920;0;529;529;0;0;0;0;0;0;0;0;0;0;0;0;0
1601;2721,565328;2133;388;258;3179;70;251;17000;714;1100;0;0;4107;13517;0;29200;3600;25581;8;2;2;0;0;1,5;0;0;0;28420;28420;0;9952;319;0;0;0;2433;0;0;7200;0;0;0;0;0;0
1602;1705,572065;7980;3832;0;1480;1342;539;28700;822;2529;0;2540;4164;11468;0;53928;4344;24720;7;2;2;0;0;1,5;6760;0;0;30320;30320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603;2694,762909;0;0;0;1680;0;228;150;718;121;0;2092;2170;13121;0;7159;8052;21972;7;5;0;0;2;2,4;47290;0;0;0;5430;5430;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0
