numero_simulation;last_commit;branch_name;SHA;uncommited_changes;Scenario;Country;Datehour;Model version;Commentary;Macro_nb;Proj_scenario;SystemOpt_Resol;study;Nb_Iter;AGG_type;Demographic_shift;Labour_product;World_prices;X_nonEnerg;Invest_matrix;Real_GDP_metadata;Non_energy_output_metadata;Energy_output_metadata;Non_energy_consumption_metadata;Energy_consumption_metadata;Unemployment_rate_metadata;Volume_of_investment_metadata;Real_Net_of_tax_wages_metadata;CPI_metadata;Emissions_MtCO2_metadata
83.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240610_12h03m41;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3388416,9;6035993,3;102825,69;2596146;168014,18;6,9548893;5,936e+08;49061,889;0,9886239;182,85859
82.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_11h47m11;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3460201,2;6057998,2;116962,74;2543655,7;190196,13;8,4263426;6,016e+08;48129,281;0,9535853;118,03515
81.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240610_11h46m21;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3431890,3;6038715,9;107428,09;2523898,9;198162,66;8,6627147;5,677e+08;47996,314;0,9496965;265,61653
80.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240610_11h44m00;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3421092,8;6017796;109332,54;2514958;201133,39;8,9076579;5,687e+08;47862,672;0,9526026;269,81129
79.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_11h42m54;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3432057,7;6002637,2;111685,61;2513750,7;180375,35;9,0894665;5,919e+08;47766,063;0,9514697;127,28982
78.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_08h38m05;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3432057,7;6002637,2;111685,61;2513750,7;180375,35;9,0894665;5,919e+08;47766,063;0,9514697;127,28982
77.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240610_08h36m42;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3421092,8;6017796;109332,54;2514958;201133,39;8,9076579;5,687e+08;47862,672;0,9526026;269,81129
76.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240608_17h20m55;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3310179,9;5812286;121512,07;2436778;223669,74;11,277402;5,805e+08;46746,853;0,9628324;135,71982
75.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240608_17h19m06;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3347574,6;5900476,7;119638,4;2470487,6;227781,23;10,194031;5,731e+08;47221,382;0,9662708;320,70909
74.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240608_17h11m54;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3347574,6;5900476,7;119638,4;2470487,6;227781,23;10,194031;5,731e+08;47221,382;0,9662708;320,70909
73.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240608_17h08m20;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3347574,6;5900476,7;119638,4;2470487,6;227781,23;10,194031;5,731e+08;47221,382;0,9662708;320,70909
72.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240608_17h02m11;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3266329,7;5737060,9;133068,94;2413615,2;254756,26;11,816119;6,519e+08;46529,223;0,9964558;140,5309
71.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240608_16h59m07;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3266329,7;5737060,9;133068,94;2413615,2;254756,26;11,816119;6,519e+08;46529,223;0,9964558;140,5309
70.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240608_16h39m15;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3266329,7;5737060,9;133068,94;2413615,2;254756,26;11,816119;6,519e+08;46529,223;0,9964558;140,5309
69.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240607_17h48m06;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3266329,7;5737060,9;133068,94;2413615,2;254756,26;11,816119;6,519e+08;46529,223;0,9964558;140,5309
68.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240607_17h47m05;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3250779,9;5698807,5;131732,91;2408665,7;253456,74;12,292969;6,837e+08;46345,504;1,0273915;360,77543
67.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240607_17h45m46;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3310179,9;5812286;121512,07;2436778;223669,74;11,277402;5,805e+08;46746,853;0,9628324;135,71982
66.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240607_17h44m55;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3347574,6;5900476,7;119638,4;2470487,6;227781,23;10,194031;5,731e+08;47221,382;0,9662708;320,70909
65.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240607_17h43m21;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3378343,2;5913371;110526,86;2483829,5;190421,46;10,019226;5,846e+08;47303,129;0,9523668;128,16508
64.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240607_17h42m25;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3385800,9;5960768,2;112467,6;2496525,1;209358,11;9,4715154;5,690e+08;47569,802;0,9569228;282,53089
63.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240607_17h40m25;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3421092,8;6017796;109332,54;2514958;201133,39;8,9076579;5,687e+08;47862,672;0,9526026;269,81129
62.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240607_17h24m39;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3432057,7;6002637,2;111685,61;2513750,7;180375,35;9,0894665;5,919e+08;47766,063;0,9514697;127,28982
61.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240607_17h17m59;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3457563,4;6053833,1;116934,44;2540741,8;190156,53;8,4852689;5,961e+08;48095,753;0,9515231;117,97446
60.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240607_17h16m52;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3429278,1;6034681,3;107397,5;2521141,7;198107,44;8,7202988;5,625e+08;47964,526;0,9476977;265,52205
59.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240606_20h30m36;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3494045,8;6140624,1;185503,98;2612954,9;198126,72;7,4150466;6,594e+08;48748,572;0,9906246;113,5949
58.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240606_20h28m43;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3437095;6038132,3;115752,26;2529630;207974,3;8,6640839;5,659e+08;47995,556;0,9515968;268,3439
57.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240606_20h20m37;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3374840,2;6046079,9;119531,88;2670195,8;124203,92;6,2834861;6,624e+08;49562,502;1,0345866;10,843246
56.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240606_20h19m23;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3386419;6032630,6;102842,62;2592885,3;168073,11;7,0099233;5,871e+08;49023,235;0,9858055;182,95503
55.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240606_17h09m25;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3168962,6;5730329,7;167960,64;2472814;179422,98;12,141393;6,768e+08;46403,04;1,1561441;100,82483
54.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240606_17h08m39;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3425017,3;6021988,7;115513,05;2523590,8;207370,72;8,8367172;5,665e+08;47900,957;0,9566508;267,43661
53.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240606_16h48m47;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3328298;5968090,9;175184,75;2661003;187812,07;6,5753658;7,073e+08;49337,972;1,098541;110,24109
52.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240606_16h47m12;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3297527,2;5927759,2;108719,21;2615335,2;192323,34;6,9701352;6,151e+08;49051,147;1,0513552;245,66339
51.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240606_15h14m26;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3310887,3;6005679;112099,62;2779218,5;116379,75;5,5277678;8,115e+08;50201,687;1,1637989;10,513383
50.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240606_15h13m37;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3312028,3;5973106,5;99995,042;2659933,7;162638,26;6,5063061;6,262e+08;49390,093;1,0557497;176,3331
49.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240606_14h38m32;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesienlesdemand;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3270119,8;5912365,3;115044,98;2544439,6;119543,42;7,7148336;7,438e+08;48555,746;1,0589455;10,702805
48.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240606_14h06m51;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesienlesdemand;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3270119,8;5912365,3;115044,98;2544439,6;119543,42;7,7148336;7,438e+08;48555,746;1,0589455;10,702805
47.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240606_14h02m49;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesienlesdemand;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3338290,9;5985070,6;101236,03;2617276;164929,18;6,9159162;6,088e+08;49089,467;1,0194665;179,09956
46.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run2testbis;FRA2018;20240606_13h57m20;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesienlesdemand;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3287235;5869615,4;102423,19;2368361,5;167655,65;9,7237433;5,498e+08;47444,944;0,9299254;182,73578
45.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run2testbis;FRA2018;20240606_13h55m07;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesienlesdemand;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3562929,8;6268319;183429,64;2717854,8;196499,3;6,0621693;8,745e+08;49740,539;1,075328;103,93621
44.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run2testbis;FRA2018;20240606_11h44m12;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesienlesdemand;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3562929,8;6268319;183429,64;2717854,8;196499,3;6,0621693;8,745e+08;49740,539;1,075328;103,93621
43.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run2testbis;FRA2018;20240606_11h39m52;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesienlesdemand;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3224486,9;5815524,4;117998;2307918,2;122687,16;10,21632;6,835e+08;47211,07;0,9697021;10,865488
